city,state,2020 census,2020 land area,location,lat,long
Henderson,Nevada,317610,275.1 km2,36°00′N 115°02′W﻿ / ﻿36.00°N 115.03°W,36.0,-115.03333333333332
Stockton,California,320804,161.1 km2,37°58′N 121°19′W﻿ / ﻿37.97°N 121.31°W,37.96666666666667,-121.31666666666666
Lexington[p],Kentucky,322570,734.5 km2,38°02′N 84°27′W﻿ / ﻿38.04°N 84.45°W,38.03333333333333,-84.45
Corpus Christi,Texas,317863,420.1 km2,27°45′N 97°10′W﻿ / ﻿27.75°N 97.17°W,27.75,-97.16666666666669
Riverside,California,314998,210.3 km2,33°56′N 117°23′W﻿ / ﻿33.93°N 117.39°W,33.93333333333333,-117.38333333333334
Santa Ana,California,310227,70.7 km2,33°44′N 117°53′W﻿ / ﻿33.73°N 117.88°W,33.733333333333334,-117.88333333333334
Orlando,Florida,307573,286.5 km2,28°25′N 81°16′W﻿ / ﻿28.41°N 81.27°W,28.416666666666668,-81.26666666666667
Irvine,California,307670,169.9 km2,33°40′N 117°46′W﻿ / ﻿33.67°N 117.77°W,33.666666666666664,-117.76666666666668
Cincinnati,Ohio,309317,201.5 km2,39°08′N 84°30′W﻿ / ﻿39.14°N 84.50°W,39.13333333333333,-84.5
Newark,New Jersey,311549,62.4 km2,40°43′N 74°10′W﻿ / ﻿40.72°N 74.17°W,40.71666666666667,-74.16666666666667
Saint Paul,Minnesota,311527,134.7 km2,44°56′N 93°06′W﻿ / ﻿44.94°N 93.10°W,44.93333333333333,-93.1
Pittsburgh,Pennsylvania,302971,143.5 km2,40°26′N 79°58′W﻿ / ﻿40.43°N 79.97°W,40.43333333333333,-79.96666666666667
Greensboro,North Carolina,299035,335.7 km2,36°05′N 79°49′W﻿ / ﻿36.09°N 79.82°W,36.083333333333336,-79.81666666666666
St. Louis[m],Missouri,301578,159.8 km2,38°38′N 90°14′W﻿ / ﻿38.63°N 90.24°W,38.63333333333333,-90.23333333333332
Lincoln,Nebraska,291082,253.0 km2,40°49′N 96°41′W﻿ / ﻿40.81°N 96.68°W,40.81666666666667,-96.68333333333334
Plano,Texas,285494,185.7 km2,33°03′N 96°44′W﻿ / ﻿33.05°N 96.74°W,33.05,-96.73333333333332
Anchorage[q],Alaska,291247,"4,420.6 km2",61°10′N 149°17′W﻿ / ﻿61.17°N 149.28°W,61.16666666666666,-149.28333333333333
Durham,North Carolina,283506,292.2 km2,35°59′N 78°54′W﻿ / ﻿35.98°N 78.90°W,35.983333333333334,-78.9
Jersey City,New Jersey,292449,38.1 km2,40°43′N 74°04′W﻿ / ﻿40.71°N 74.06°W,40.71666666666667,-74.06666666666666
Chandler,Arizona,275987,169.1 km2,33°17′N 111°51′W﻿ / ﻿33.28°N 111.85°W,33.28333333333333,-111.85
Chula Vista,California,275487,128.5 km2,32°37′N 117°01′W﻿ / ﻿32.62°N 117.01°W,32.61666666666667,-117.01666666666668
Buffalo,New York,278349,104.6 km2,42°53′N 78°51′W﻿ / ﻿42.89°N 78.85°W,42.88333333333333,-78.85
North Las Vegas,Nevada,262527,262.4 km2,36°17′N 115°05′W﻿ / ﻿36.28°N 115.09°W,36.28333333333333,-115.08333333333331
Gilbert[r],Arizona,267918,177.7 km2,33°19′N 111°44′W﻿ / ﻿33.31°N 111.74°W,33.31666666666667,-111.73333333333332
Madison,Wisconsin,269840,206.2 km2,43°05′N 89°25′W﻿ / ﻿43.08°N 89.42°W,43.083333333333336,-89.41666666666667
Reno,Nevada,264165,281.8 km2,39°32′N 119°50′W﻿ / ﻿39.54°N 119.84°W,39.53333333333333,-119.83333333333331
Toledo,Ohio,270871,208.5 km2,41°40′N 83°35′W﻿ / ﻿41.66°N 83.58°W,41.66666666666666,-83.58333333333333
Fort Wayne,Indiana,263886,286.7 km2,41°05′N 85°08′W﻿ / ﻿41.08°N 85.14°W,41.083333333333336,-85.13333333333334
Lubbock,Texas,257141,348.6 km2,33°34′N 101°53′W﻿ / ﻿33.56°N 101.88°W,33.56666666666667,-101.88333333333334
St. Petersburg,Florida,258308,160.1 km2,27°46′N 82°38′W﻿ / ﻿27.76°N 82.64°W,27.766666666666666,-82.63333333333334
Laredo,Texas,255205,275.8 km2,27°34′N 99°29′W﻿ / ﻿27.56°N 99.48°W,27.566666666666663,-99.48333333333332
Irving,Texas,256684,173.5 km2,32°51′N 96°58′W﻿ / ﻿32.85°N 96.97°W,32.85,-96.96666666666668
Chesapeake[m],Virginia,249422,876.7 km2,36°40′N 76°18′W﻿ / ﻿36.67°N 76.30°W,36.66666666666666,-76.3
Winston–Salem,North Carolina,249545,343.7 km2,36°06′N 80°16′W﻿ / ﻿36.10°N 80.26°W,36.1,-80.26666666666667
Glendale,Arizona,248325,159.5 km2,33°32′N 112°11′W﻿ / ﻿33.53°N 112.18°W,33.53333333333333,-112.18333333333334
Scottsdale,Arizona,241361,476.6 km2,33°41′N 111°52′W﻿ / ﻿33.68°N 111.86°W,33.68333333333333,-111.86666666666666
Garland,Texas,246018,147.9 km2,32°54′N 96°38′W﻿ / ﻿32.90°N 96.63°W,32.9,-96.63333333333334
Boise[s],Idaho,235684,217.6 km2,43°36′N 116°14′W﻿ / ﻿43.60°N 116.23°W,43.6,-116.23333333333332
Norfolk[m],Virginia,238005,138.0 km2,36°55′N 76°14′W﻿ / ﻿36.92°N 76.24°W,36.91666666666666,-76.23333333333333
Spokane,Washington,228989,178.2 km2,47°40′N 117°26′W﻿ / ﻿47.66°N 117.43°W,47.66666666666666,-117.43333333333334
Fremont,California,230504,202.8 km2,37°29′N 121°56′W﻿ / ﻿37.49°N 121.94°W,37.48333333333333,-121.93333333333334
Richmond[m],Virginia,226610,155.1 km2,37°32′N 77°28′W﻿ / ﻿37.53°N 77.47°W,37.53333333333333,-77.46666666666667
Santa Clarita,California,228673,183.4 km2,34°24′N 118°30′W﻿ / ﻿34.40°N 118.50°W,34.4,-118.5
San Bernardino,California,222101,160.8 km2,34°08′N 117°17′W﻿ / ﻿34.14°N 117.29°W,34.13333333333333,-117.28333333333332
Baton Rouge[t],Louisiana,227470,223.5 km2,30°26′N 91°08′W﻿ / ﻿30.44°N 91.13°W,30.433333333333334,-91.13333333333334
Hialeah,Florida,223109,55.9 km2,25°52′N 80°18′W﻿ / ﻿25.86°N 80.30°W,25.866666666666667,-80.3
Tacoma,Washington,219346,128.7 km2,47°15′N 122°27′W﻿ / ﻿47.25°N 122.45°W,47.25,-122.45
Modesto,California,218464,111.4 km2,37°38′N 121°00′W﻿ / ﻿37.63°N 121.00°W,37.63333333333333,-121.0
Port St. Lucie,Florida,204851,308.7 km2,27°17′N 80°23′W﻿ / ﻿27.28°N 80.38°W,27.28333333333333,-80.38333333333334
Huntsville,Alabama,215006,564.9 km2,34°41′N 86°40′W﻿ / ﻿34.69°N 86.67°W,34.68333333333333,-86.66666666666667
Des Moines,Iowa,214133,228.4 km2,41°34′N 93°37′W﻿ / ﻿41.57°N 93.61°W,41.56666666666667,-93.61666666666666
Moreno Valley,California,208634,132.9 km2,33°55′N 117°12′W﻿ / ﻿33.92°N 117.20°W,33.916666666666664,-117.2
Fontana,California,208393,111.6 km2,34°06′N 117°28′W﻿ / ﻿34.10°N 117.46°W,34.1,-117.46666666666668
Frisco,Texas,200509,177.7 km2,33°09′N 96°49′W﻿ / ﻿33.15°N 96.82°W,33.15,-96.81666666666666
Rochester,New York,211328,92.7 km2,43°10′N 77°37′W﻿ / ﻿43.16°N 77.61°W,43.16666666666666,-77.61666666666666
Yonkers,New York,211569,46.6 km2,40°56′N 73°52′W﻿ / ﻿40.94°N 73.86°W,40.93333333333333,-73.86666666666666
Fayetteville,North Carolina,208501,384.1 km2,35°05′N 78°58′W﻿ / ﻿35.08°N 78.97°W,35.083333333333336,-78.96666666666667
Worcester,Massachusetts,206518,96.9 km2,42°16′N 71°48′W﻿ / ﻿42.26°N 71.80°W,42.266666666666666,-71.8
Columbus[u],Georgia,206922,560.7 km2,32°31′N 84°52′W﻿ / ﻿32.51°N 84.87°W,32.516666666666666,-84.86666666666666
Cape Coral,Florida,194016,274.5 km2,26°38′N 81°59′W﻿ / ﻿26.64°N 81.99°W,26.633333333333333,-81.98333333333333
McKinney,Texas,195308,173.5 km2,33°11′N 96°40′W﻿ / ﻿33.19°N 96.66°W,33.18333333333333,-96.66666666666669
Little Rock,Arkansas,202591,310.8 km2,34°43′N 92°21′W﻿ / ﻿34.72°N 92.35°W,34.71666666666667,-92.35
Oxnard,California,202063,68.6 km2,34°12′N 119°12′W﻿ / ﻿34.20°N 119.20°W,34.2,-119.2
Amarillo,Texas,200393,265.0 km2,35°11′N 101°50′W﻿ / ﻿35.19°N 101.83°W,35.18333333333333,-101.83333333333331
Augusta[v],Georgia,202081,783.0 km2,33°22′N 82°04′W﻿ / ﻿33.36°N 82.07°W,33.36666666666667,-82.06666666666666
Salt Lake City,Utah,199723,285.7 km2,40°46′N 111°56′W﻿ / ﻿40.77°N 111.93°W,40.766666666666666,-111.93333333333334
Montgomery,Alabama,200603,414.1 km2,32°20′N 86°16′W﻿ / ﻿32.34°N 86.26°W,32.333333333333336,-86.26666666666667
Birmingham,Alabama,200733,380.7 km2,33°31′N 86°47′W﻿ / ﻿33.52°N 86.79°W,33.516666666666666,-86.78333333333333
Grand Rapids,Michigan,198917,116.0 km2,42°58′N 85°39′W﻿ / ﻿42.96°N 85.65°W,42.96666666666667,-85.65
Grand Prairie,Texas,196100,188.0 km2,32°41′N 97°01′W﻿ / ﻿32.68°N 97.02°W,32.68333333333333,-97.01666666666668
Overland Park,Kansas,197238,194.8 km2,38°53′N 94°41′W﻿ / ﻿38.88°N 94.69°W,38.88333333333333,-94.68333333333334
Tallahassee,Florida,196169,261.3 km2,30°27′N 84°15′W﻿ / ﻿30.45°N 84.25°W,30.45,-84.25
Huntington Beach,California,198711,69.9 km2,33°41′N 118°00′W﻿ / ﻿33.69°N 118.00°W,33.68333333333333,-118.0
Sioux Falls,South Dakota,192517,204.9 km2,43°32′N 96°44′W﻿ / ﻿43.53°N 96.73°W,43.53333333333333,-96.73333333333332
Peoria,Arizona,190985,456.1 km2,33°47′N 112°18′W﻿ / ﻿33.78°N 112.30°W,33.78333333333333,-112.3
Knoxville,Tennessee,190740,255.6 km2,35°58′N 83°56′W﻿ / ﻿35.97°N 83.94°W,35.96666666666667,-83.93333333333334
Glendale,California,196543,79.0 km2,34°11′N 118°14′W﻿ / ﻿34.18°N 118.24°W,34.18333333333333,-118.23333333333332
Vancouver,Washington,190915,126.1 km2,45°38′N 122°35′W﻿ / ﻿45.63°N 122.59°W,45.63333333333333,-122.58333333333331
Providence,Rhode Island,190934,47.7 km2,41°49′N 71°25′W﻿ / ﻿41.82°N 71.41°W,41.81666666666667,-71.41666666666667
Akron,Ohio,190469,160.3 km2,41°05′N 81°31′W﻿ / ﻿41.08°N 81.52°W,41.083333333333336,-81.51666666666667
Brownsville,Texas,186738,340.6 km2,25°59′N 97°27′W﻿ / ﻿25.99°N 97.45°W,25.98333333333333,-97.45
Mobile,Alabama,187041,361.3 km2,30°40′N 88°06′W﻿ / ﻿30.66°N 88.10°W,30.666666666666668,-88.1
Newport News[m],Virginia,186247,178.7 km2,37°04′N 76°31′W﻿ / ﻿37.07°N 76.52°W,37.06666666666667,-76.51666666666667
Tempe,Arizona,180587,103.3 km2,33°23′N 111°56′W﻿ / ﻿33.38°N 111.93°W,33.38333333333333,-111.93333333333334
Shreveport,Louisiana,187593,279.2 km2,32°28′N 93°47′W﻿ / ﻿32.46°N 93.79°W,32.46666666666667,-93.78333333333332
Chattanooga,Tennessee,181099,368.8 km2,35°04′N 85°14′W﻿ / ﻿35.06°N 85.24°W,35.06666666666667,-85.23333333333333
Fort Lauderdale,Florida,182760,89.6 km2,26°08′N 80°08′W﻿ / ﻿26.14°N 80.14°W,26.133333333333333,-80.13333333333334
Aurora,Illinois,180542,116.5 km2,41°46′N 88°17′W﻿ / ﻿41.76°N 88.29°W,41.766666666666666,-88.28333333333333
Elk Grove,California,176124,108.8 km2,38°25′N 121°23′W﻿ / ﻿38.41°N 121.38°W,38.41666666666666,-121.38333333333334
Ontario,California,175265,129.5 km2,34°02′N 117°36′W﻿ / ﻿34.03°N 117.60°W,34.03333333333333,-117.6
Salem,Oregon,175535,126.4 km2,44°55′N 123°01′W﻿ / ﻿44.92°N 123.02°W,44.91666666666666,-123.01666666666668
Cary,North Carolina,174721,153.3 km2,35°47′N 78°49′W﻿ / ﻿35.78°N 78.81°W,35.78333333333333,-78.81666666666666
Santa Rosa,California,178127,110.1 km2,38°26′N 122°42′W﻿ / ﻿38.44°N 122.70°W,38.43333333333333,-122.7
Rancho Cucamonga,California,174453,103.9 km2,34°07′N 117°34′W﻿ / ﻿34.12°N 117.56°W,34.11666666666667,-117.56666666666666
Eugene,Oregon,176654,114.5 km2,44°03′N 123°07′W﻿ / ﻿44.05°N 123.11°W,44.05,-123.11666666666666
Oceanside,California,174068,107.0 km2,33°13′N 117°18′W﻿ / ﻿33.22°N 117.30°W,33.21666666666667,-117.3
Clarksville,Tennessee,166722,257.4 km2,36°34′N 87°20′W﻿ / ﻿36.56°N 87.34°W,36.56666666666667,-87.33333333333333
Garden Grove,California,171949,46.6 km2,33°46′N 117°58′W﻿ / ﻿33.77°N 117.96°W,33.766666666666666,-117.96666666666668
Lancaster,California,173516,244.2 km2,34°41′N 118°10′W﻿ / ﻿34.69°N 118.17°W,34.68333333333333,-118.16666666666669
Springfield,Missouri,169176,213.4 km2,37°11′N 93°17′W﻿ / ﻿37.19°N 93.29°W,37.18333333333333,-93.28333333333332
Pembroke Pines,Florida,171178,84.7 km2,26°01′N 80°20′W﻿ / ﻿26.02°N 80.34°W,26.016666666666666,-80.33333333333333
Fort Collins,Colorado,169810,148.1 km2,40°32′N 105°04′W﻿ / ﻿40.54°N 105.06°W,40.53333333333333,-105.06666666666666
Palmdale,California,169450,274.8 km2,34°35′N 118°06′W﻿ / ﻿34.59°N 118.10°W,34.583333333333336,-118.1
Salinas,California,163542,60.9 km2,36°41′N 121°38′W﻿ / ﻿36.69°N 121.63°W,36.68333333333333,-121.63333333333334
Hayward,California,162954,118.6 km2,37°37′N 122°06′W﻿ / ﻿37.62°N 122.10°W,37.61666666666667,-122.1
Corona,California,157136,103.3 km2,33°52′N 117°34′W﻿ / ﻿33.86°N 117.56°W,33.86666666666667,-117.56666666666666
Paterson,New Jersey,159732,21.8 km2,40°55′N 74°10′W﻿ / ﻿40.91°N 74.16°W,40.91666666666666,-74.16666666666667
Murfreesboro,Tennessee,152769,162.9 km2,35°51′N 86°25′W﻿ / ﻿35.85°N 86.41°W,35.85,-86.41666666666667
Macon[w],Georgia,157346,645.9 km2,32°48′N 83°41′W﻿ / ﻿32.80°N 83.69°W,32.8,-83.68333333333334
Lakewood,Colorado,155984,112.7 km2,39°41′N 105°07′W﻿ / ﻿39.69°N 105.11°W,39.68333333333333,-105.11666666666666
Killeen,Texas,153095,141.9 km2,31°04′N 97°44′W﻿ / ﻿31.07°N 97.73°W,31.066666666666663,-97.73333333333332
Springfield,Massachusetts,155929,82.6 km2,42°07′N 72°32′W﻿ / ﻿42.11°N 72.54°W,42.11666666666667,-72.53333333333333
Alexandria[m],Virginia,159467,38.6 km2,38°49′N 77°05′W﻿ / ﻿38.82°N 77.08°W,38.81666666666667,-77.08333333333333
Kansas City[x],Kansas,156607,323.0 km2,39°07′N 94°44′W﻿ / ﻿39.12°N 94.74°W,39.11666666666667,-94.73333333333332
Sunnyvale,California,155805,57.2 km2,37°23′N 122°01′W﻿ / ﻿37.38°N 122.02°W,37.38333333333333,-122.01666666666668
Hollywood,Florida,153067,70.7 km2,26°02′N 80°10′W﻿ / ﻿26.03°N 80.16°W,26.03333333333333,-80.16666666666667
Roseville,California,147773,114.2 km2,38°46′N 121°19′W﻿ / ﻿38.76°N 121.31°W,38.766666666666666,-121.31666666666666
Charleston,South Carolina,150227,297.3 km2,32°49′N 79°57′W﻿ / ﻿32.81°N 79.95°W,32.81666666666667,-79.95
Escondido,California,151038,96.6 km2,33°08′N 117°04′W﻿ / ﻿33.13°N 117.07°W,33.13333333333333,-117.06666666666666
Joliet,Illinois,150362,167.1 km2,41°31′N 88°08′W﻿ / ﻿41.51°N 88.14°W,41.516666666666666,-88.13333333333334
Jackson,Mississippi,153701,289.3 km2,32°19′N 90°13′W﻿ / ﻿32.31°N 90.21°W,32.31666666666667,-90.21666666666668
Bellevue,Washington,151854,86.8 km2,47°35′N 122°09′W﻿ / ﻿47.59°N 122.15°W,47.583333333333336,-122.15
Surprise,Arizona,143148,285.7 km2,33°40′N 112°27′W﻿ / ﻿33.67°N 112.45°W,33.666666666666664,-112.45
Naperville,Illinois,149540,101.3 km2,41°44′N 88°10′W﻿ / ﻿41.74°N 88.16°W,41.73333333333333,-88.16666666666667
Pasadena,Texas,151950,113.2 km2,29°39′N 95°09′W﻿ / ﻿29.65°N 95.15°W,29.65,-95.15
Pomona,California,151713,59.6 km2,34°03′N 117°46′W﻿ / ﻿34.05°N 117.76°W,34.05,-117.76666666666668
Bridgeport,Connecticut,148654,41.7 km2,41°11′N 73°11′W﻿ / ﻿41.18°N 73.19°W,41.18333333333333,-73.18333333333334
Denton,Texas,139869,249.7 km2,33°13′N 97°08′W﻿ / ﻿33.21°N 97.14°W,33.21666666666667,-97.13333333333334
Rockford,Illinois,148655,167.1 km2,42°15′N 89°04′W﻿ / ﻿42.25°N 89.06°W,42.25,-89.06666666666666
