,2021 rank,City,State[c],2020 census,2020 land area.1,Location
141,142,Chattanooga,Tennessee,181099,368.8 km2,35°04′N 85°14′W﻿ / ﻿35.06°N 85.24°W
142,143,Fort Lauderdale,Florida,182760,89.6 km2,26°08′N 80°08′W﻿ / ﻿26.14°N 80.14°W
143,144,Aurora,Illinois,180542,116.5 km2,41°46′N 88°17′W﻿ / ﻿41.76°N 88.29°W
144,145,Elk Grove,California,176124,108.8 km2,38°25′N 121°23′W﻿ / ﻿38.41°N 121.38°W
145,146,Ontario,California,175265,129.5 km2,34°02′N 117°36′W﻿ / ﻿34.03°N 117.60°W
146,147,Salem,Oregon,175535,126.4 km2,44°55′N 123°01′W﻿ / ﻿44.92°N 123.02°W
147,148,Cary,North Carolina,174721,153.3 km2,35°47′N 78°49′W﻿ / ﻿35.78°N 78.81°W
148,149,Santa Rosa,California,178127,110.1 km2,38°26′N 122°42′W﻿ / ﻿38.44°N 122.70°W
149,150,Rancho Cucamonga,California,174453,103.9 km2,34°07′N 117°34′W﻿ / ﻿34.12°N 117.56°W
150,151,Eugene,Oregon,176654,114.5 km2,44°03′N 123°07′W﻿ / ﻿44.05°N 123.11°W
151,152,Oceanside,California,174068,107.0 km2,33°13′N 117°18′W﻿ / ﻿33.22°N 117.30°W
152,153,Clarksville,Tennessee,166722,257.4 km2,36°34′N 87°20′W﻿ / ﻿36.56°N 87.34°W
153,154,Garden Grove,California,171949,46.6 km2,33°46′N 117°58′W﻿ / ﻿33.77°N 117.96°W
154,155,Lancaster,California,173516,244.2 km2,34°41′N 118°10′W﻿ / ﻿34.69°N 118.17°W
155,156,Springfield,Missouri,169176,213.4 km2,37°11′N 93°17′W﻿ / ﻿37.19°N 93.29°W
156,157,Pembroke Pines,Florida,171178,84.7 km2,26°01′N 80°20′W﻿ / ﻿26.02°N 80.34°W
157,158,Fort Collins,Colorado,169810,148.1 km2,40°32′N 105°04′W﻿ / ﻿40.54°N 105.06°W
158,159,Palmdale,California,169450,274.8 km2,34°35′N 118°06′W﻿ / ﻿34.59°N 118.10°W
159,160,Salinas,California,163542,60.9 km2,36°41′N 121°38′W﻿ / ﻿36.69°N 121.63°W
160,161,Hayward,California,162954,118.6 km2,37°37′N 122°06′W﻿ / ﻿37.62°N 122.10°W
161,162,Corona,California,157136,103.3 km2,33°52′N 117°34′W﻿ / ﻿33.86°N 117.56°W
162,163,Paterson,New Jersey,159732,21.8 km2,40°55′N 74°10′W﻿ / ﻿40.91°N 74.16°W
163,164,Murfreesboro,Tennessee,152769,162.9 km2,35°51′N 86°25′W﻿ / ﻿35.85°N 86.41°W
164,165,Macon[w],Georgia,157346,645.9 km2,32°48′N 83°41′W﻿ / ﻿32.80°N 83.69°W
165,166,Lakewood,Colorado,155984,112.7 km2,39°41′N 105°07′W﻿ / ﻿39.69°N 105.11°W
166,167,Killeen,Texas,153095,141.9 km2,31°04′N 97°44′W﻿ / ﻿31.07°N 97.73°W
167,168,Springfield,Massachusetts,155929,82.6 km2,42°07′N 72°32′W﻿ / ﻿42.11°N 72.54°W
168,169,Alexandria[m],Virginia,159467,38.6 km2,38°49′N 77°05′W﻿ / ﻿38.82°N 77.08°W
169,170,Kansas City[x],Kansas,156607,323.0 km2,39°07′N 94°44′W﻿ / ﻿39.12°N 94.74°W
170,171,Sunnyvale,California,155805,57.2 km2,37°23′N 122°01′W﻿ / ﻿37.38°N 122.02°W
171,172,Hollywood,Florida,153067,70.7 km2,26°02′N 80°10′W﻿ / ﻿26.03°N 80.16°W
172,173,Roseville,California,147773,114.2 km2,38°46′N 121°19′W﻿ / ﻿38.76°N 121.31°W
173,174,Charleston,South Carolina,150227,297.3 km2,32°49′N 79°57′W﻿ / ﻿32.81°N 79.95°W
174,175,Escondido,California,151038,96.6 km2,33°08′N 117°04′W﻿ / ﻿33.13°N 117.07°W
175,176,Joliet,Illinois,150362,167.1 km2,41°31′N 88°08′W﻿ / ﻿41.51°N 88.14°W
176,177,Jackson,Mississippi,153701,289.3 km2,32°19′N 90°13′W﻿ / ﻿32.31°N 90.21°W
177,178,Bellevue,Washington,151854,86.8 km2,47°35′N 122°09′W﻿ / ﻿47.59°N 122.15°W
178,179,Surprise,Arizona,143148,285.7 km2,33°40′N 112°27′W﻿ / ﻿33.67°N 112.45°W
179,180,Naperville,Illinois,149540,101.3 km2,41°44′N 88°10′W﻿ / ﻿41.74°N 88.16°W
180,181,Pasadena,Texas,151950,113.2 km2,29°39′N 95°09′W﻿ / ﻿29.65°N 95.15°W
181,182,Pomona,California,151713,59.6 km2,34°03′N 117°46′W﻿ / ﻿34.05°N 117.76°W
182,183,Bridgeport,Connecticut,148654,41.7 km2,41°11′N 73°11′W﻿ / ﻿41.18°N 73.19°W
183,184,Denton,Texas,139869,249.7 km2,33°13′N 97°08′W﻿ / ﻿33.21°N 97.14°W
184,185,Rockford,Illinois,148655,167.1 km2,42°15′N 89°04′W﻿ / ﻿42.25°N 89.06°W
185,186,Mesquite,Texas,150108,125.6 km2,32°46′N 96°35′W﻿ / ﻿32.76°N 96.58°W
186,187,Savannah,Georgia,147780,276.6 km2,32°00′N 81°09′W﻿ / ﻿32.00°N 81.15°W
187,188,Syracuse,New York,148620,65.0 km2,43°02′N 76°08′W﻿ / ﻿43.04°N 76.14°W
188,189,McAllen,Texas,142210,161.4 km2,26°14′N 98°14′W﻿ / ﻿26.23°N 98.24°W
189,190,Torrance,California,147067,53.1 km2,33°50′N 118°20′W﻿ / ﻿33.83°N 118.34°W
190,191,Olathe,Kansas,141290,160.3 km2,38°53′N 94°49′W﻿ / ﻿38.88°N 94.81°W
191,192,Visalia,California,141384,98.2 km2,36°19′N 119°19′W﻿ / ﻿36.32°N 119.32°W
192,193,Thornton,Colorado,141867,93.0 km2,39°55′N 104°56′W﻿ / ﻿39.91°N 104.94°W
193,194,Fullerton,California,143617,58.0 km2,33°53′N 117°55′W﻿ / ﻿33.88°N 117.92°W
194,195,Gainesville,Florida,141085,163.7 km2,29°40′N 82°20′W﻿ / ﻿29.67°N 82.34°W
195,196,Waco,Texas,138486,229.7 km2,31°34′N 97°11′W﻿ / ﻿31.56°N 97.18°W
196,197,West Valley City,Utah,140230,92.7 km2,40°41′N 112°01′W﻿ / ﻿40.68°N 112.01°W
197,198,Warren,Michigan,139387,89.1 km2,42°29′N 83°01′W﻿ / ﻿42.49°N 83.02°W
198,199,Lakewood,New Jersey,135158,64.0 km2,40°05′N 74°13′W﻿ / ﻿40.08°N 74.21°W
199,200,Hampton[m],Virginia,137148,133.4 km2,37°02′N 76°17′W﻿ / ﻿37.04°N 76.29°W
200,201,Dayton,Ohio,137644,144.5 km2,39°46′N 84°11′W﻿ / ﻿39.77°N 84.19°W
201,202,Columbia,South Carolina,136632,354.3 km2,34°01′N 80°53′W﻿ / ﻿34.02°N 80.89°W
202,203,Orange,California,139911,66.6 km2,33°47′N 117°52′W﻿ / ﻿33.78°N 117.86°W
203,204,Cedar Rapids,Iowa,137710,186.7 km2,41°58′N 91°40′W﻿ / ﻿41.96°N 91.67°W
204,205,Stamford,Connecticut,135470,97.4 km2,41°04′N 73°32′W﻿ / ﻿41.07°N 73.54°W
205,206,Victorville,California,134810,190.9 km2,34°31′N 117°21′W﻿ / ﻿34.52°N 117.35°W
206,207,Pasadena,California,138699,59.6 km2,34°10′N 118°08′W﻿ / ﻿34.16°N 118.13°W
207,208,Elizabeth,New Jersey,137298,31.9 km2,40°40′N 74°11′W﻿ / ﻿40.66°N 74.19°W
208,209,New Haven,Connecticut,134023,48.4 km2,41°19′N 72°55′W﻿ / ﻿41.31°N 72.92°W
