city,state,2020 census,2020 land area,location,long,lat
Corona,California,157136,103.3 km2,33°52′N 117°34′W﻿ / ﻿33.86°N 117.56°W,34.43333333333333,-117.93333333333334
Paterson,New Jersey,159732,21.8 km2,40°55′N 74°10′W﻿ / ﻿40.91°N 74.16°W,41.516666666666666,-74.26666666666667
Murfreesboro,Tennessee,152769,162.9 km2,35°51′N 86°25′W﻿ / ﻿35.85°N 86.41°W,36.416666666666664,-86.68333333333334
Macon[w],Georgia,157346,645.9 km2,32°48′N 83°41′W﻿ / ﻿32.80°N 83.69°W,33.333333333333336,-84.15
Lakewood,Colorado,155984,112.7 km2,39°41′N 105°07′W﻿ / ﻿39.69°N 105.11°W,40.15,-105.18333333333334
Killeen,Texas,153095,141.9 km2,31°04′N 97°44′W﻿ / ﻿31.07°N 97.73°W,31.116666666666667,-98.21666666666667
Springfield,Massachusetts,155929,82.6 km2,42°07′N 72°32′W﻿ / ﻿42.11°N 72.54°W,42.18333333333333,-72.9
Alexandria[m],Virginia,159467,38.6 km2,38°49′N 77°05′W﻿ / ﻿38.82°N 77.08°W,39.36666666666667,-77.13333333333334
Kansas City[x],Kansas,156607,323.0 km2,39°07′N 94°44′W﻿ / ﻿39.12°N 94.74°W,39.2,-95.23333333333333
Sunnyvale,California,155805,57.2 km2,37°23′N 122°01′W﻿ / ﻿37.38°N 122.02°W,37.63333333333333,-122.03333333333333
Hollywood,Florida,153067,70.7 km2,26°02′N 80°10′W﻿ / ﻿26.03°N 80.16°W,26.05,-80.26666666666667
Roseville,California,147773,114.2 km2,38°46′N 121°19′W﻿ / ﻿38.76°N 121.31°W,39.266666666666666,-121.51666666666667
Charleston,South Carolina,150227,297.3 km2,32°49′N 79°57′W﻿ / ﻿32.81°N 79.95°W,33.35,-80.58333333333333
Escondido,California,151038,96.6 km2,33°08′N 117°04′W﻿ / ﻿33.13°N 117.07°W,33.21666666666667,-117.11666666666666
Joliet,Illinois,150362,167.1 km2,41°31′N 88°08′W﻿ / ﻿41.51°N 88.14°W,41.85,-88.23333333333333
Jackson,Mississippi,153701,289.3 km2,32°19′N 90°13′W﻿ / ﻿32.31°N 90.21°W,32.516666666666666,-90.35
Bellevue,Washington,151854,86.8 km2,47°35′N 122°09′W﻿ / ﻿47.59°N 122.15°W,47.983333333333334,-122.25
Surprise,Arizona,143148,285.7 km2,33°40′N 112°27′W﻿ / ﻿33.67°N 112.45°W,34.11666666666667,-112.75
Naperville,Illinois,149540,101.3 km2,41°44′N 88°10′W﻿ / ﻿41.74°N 88.16°W,42.233333333333334,-88.26666666666667
Pasadena,Texas,151950,113.2 km2,29°39′N 95°09′W﻿ / ﻿29.65°N 95.15°W,30.083333333333332,-95.25
Pomona,California,151713,59.6 km2,34°03′N 117°46′W﻿ / ﻿34.05°N 117.76°W,34.083333333333336,-118.26666666666667
Bridgeport,Connecticut,148654,41.7 km2,41°11′N 73°11′W﻿ / ﻿41.18°N 73.19°W,41.3,-73.31666666666666
Denton,Texas,139869,249.7 km2,33°13′N 97°08′W﻿ / ﻿33.21°N 97.14°W,33.35,-97.23333333333333
Rockford,Illinois,148655,167.1 km2,42°15′N 89°04′W﻿ / ﻿42.25°N 89.06°W,42.416666666666664,-89.1
Mesquite,Texas,150108,125.6 km2,32°46′N 96°35′W﻿ / ﻿32.76°N 96.58°W,33.266666666666666,-96.96666666666667
Savannah,Georgia,147780,276.6 km2,32°00′N 81°09′W﻿ / ﻿32.00°N 81.15°W,32.0,-81.25
Syracuse,New York,148620,65.0 km2,43°02′N 76°08′W﻿ / ﻿43.04°N 76.14°W,43.06666666666667,-76.23333333333333
McAllen,Texas,142210,161.4 km2,26°14′N 98°14′W﻿ / ﻿26.23°N 98.24°W,26.383333333333333,-98.4
Torrance,California,147067,53.1 km2,33°50′N 118°20′W﻿ / ﻿33.83°N 118.34°W,34.38333333333333,-118.56666666666666
Olathe,Kansas,141290,160.3 km2,38°53′N 94°49′W﻿ / ﻿38.88°N 94.81°W,39.46666666666667,-95.35
Visalia,California,141384,98.2 km2,36°19′N 119°19′W﻿ / ﻿36.32°N 119.32°W,36.53333333333333,-119.53333333333333
Thornton,Colorado,141867,93.0 km2,39°55′N 104°56′W﻿ / ﻿39.91°N 104.94°W,40.516666666666666,-105.56666666666666
Fullerton,California,143617,58.0 km2,33°53′N 117°55′W﻿ / ﻿33.88°N 117.92°W,34.46666666666667,-118.53333333333333
Gainesville,Florida,141085,163.7 km2,29°40′N 82°20′W﻿ / ﻿29.67°N 82.34°W,30.116666666666667,-82.56666666666666
Waco,Texas,138486,229.7 km2,31°34′N 97°11′W﻿ / ﻿31.56°N 97.18°W,31.933333333333334,-97.3
West Valley City,Utah,140230,92.7 km2,40°41′N 112°01′W﻿ / ﻿40.68°N 112.01°W,41.13333333333333,-112.01666666666667
Warren,Michigan,139387,89.1 km2,42°29′N 83°01′W﻿ / ﻿42.49°N 83.02°W,42.81666666666667,-83.03333333333333
Lakewood,New Jersey,135158,64.0 km2,40°05′N 74°13′W﻿ / ﻿40.08°N 74.21°W,40.13333333333333,-74.35
Hampton[m],Virginia,137148,133.4 km2,37°02′N 76°17′W﻿ / ﻿37.04°N 76.29°W,37.06666666666667,-76.48333333333333
Dayton,Ohio,137644,144.5 km2,39°46′N 84°11′W﻿ / ﻿39.77°N 84.19°W,40.28333333333333,-84.31666666666666
Columbia,South Carolina,136632,354.3 km2,34°01′N 80°53′W﻿ / ﻿34.02°N 80.89°W,34.03333333333333,-81.48333333333333
Orange,California,139911,66.6 km2,33°47′N 117°52′W﻿ / ﻿33.78°N 117.86°W,34.3,-118.43333333333334
Cedar Rapids,Iowa,137710,186.7 km2,41°58′N 91°40′W﻿ / ﻿41.96°N 91.67°W,42.6,-92.11666666666666
Stamford,Connecticut,135470,97.4 km2,41°04′N 73°32′W﻿ / ﻿41.07°N 73.54°W,41.11666666666667,-73.9
Victorville,California,134810,190.9 km2,34°31′N 117°21′W﻿ / ﻿34.52°N 117.35°W,34.86666666666667,-117.58333333333333
Pasadena,California,138699,59.6 km2,34°10′N 118°08′W﻿ / ﻿34.16°N 118.13°W,34.266666666666666,-118.21666666666667
Elizabeth,New Jersey,137298,31.9 km2,40°40′N 74°11′W﻿ / ﻿40.66°N 74.19°W,41.1,-74.31666666666666
New Haven,Connecticut,134023,48.4 km2,41°19′N 72°55′W﻿ / ﻿41.31°N 72.92°W,41.516666666666666,-73.53333333333333
Miramar,Florida,134721,74.9 km2,25°58′N 80°20′W﻿ / ﻿25.97°N 80.33°W,26.616666666666667,-80.55
Kent,Washington,136588,87.5 km2,47°23′N 122°13′W﻿ / ﻿47.38°N 122.21°W,47.63333333333333,-122.35
Sterling Heights,Michigan,134346,94.3 km2,42°35′N 83°02′W﻿ / ﻿42.58°N 83.03°W,42.96666666666667,-83.05
Carrollton,Texas,133434,95.1 km2,32°59′N 96°53′W﻿ / ﻿32.98°N 96.89°W,33.63333333333333,-97.48333333333333
