business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 44.9119375, 'lng': -123.0444996}, 'viewport': {'northeast': {'lat': 44.9134861302915, 'lng': -123.0433879697085}, 'southwest': {'lat': 44.9107881697085, 'lng': -123.0460859302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jimmy John's,{'open_now': True},"[{'height': 3420, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111618669951561182440"">Jordan Morehead</a>'], 'photo_reference': 'AW30NDwZ53XI70vLPDQOLY9RfRuU7ilyH67IkudDcrrBsBCiwleGei1b0HK2JeyhAQ_oIt-lyIa8MttO5QpmclC3qN8GoFCzDobDHsNi0W9GMDKq8AazOG7lcekNlxPsfSE6bIZY_Jwjs3xKfcsJNKGvaa7YjGdxos41Qg8UQ7Cr2IZRFzk9', 'width': 2983}]",ChIJNWdHYqkAwFQRuzNUO_H-azw,"{'compound_code': 'WX64+Q6 Salem, OR, USA', 'global_code': '84PRWX64+Q6'}",3.4,ChIJNWdHYqkAwFQRuzNUO_H-azw,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",185.0,"2990 Commercial Street Southeast, Salem",1.0,
OPERATIONAL,"{'location': {'lat': 44.94819819999999, 'lng': -122.9925917}, 'viewport': {'northeast': {'lat': 44.9494036302915, 'lng': -122.9911229697085}, 'southwest': {'lat': 44.9467056697085, 'lng': -122.9938209302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106674924510546903320"">Michael ODonnell</a>'], 'photo_reference': 'AW30NDxPMFCOSc-wgpy115VIBrmvYmqxnqEa9quRSaQslUZJ__mprpAXKXKTsj85jsupxAYbUDjxIIM69d_qEBIwjma7yd54W9WktLr5qEPpQwQXmGMFP0bv4kHj6Pa68PBPmExY85NxA1jYsy8MYbwiTf8B-vebXNPvb6paBJuON18t1t2y', 'width': 4032}]",ChIJ2dXX5-j-v1QR0ujvPXeLbbc,"{'compound_code': 'W2X4+7X Salem, OR, USA', 'global_code': '84PVW2X4+7X'}",3.5,ChIJ2dXX5-j-v1QR0ujvPXeLbbc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",101.0,"1531 Hawthorne Avenue Northeast, Salem",1.0,
OPERATIONAL,"{'location': {'lat': 44.9149198, 'lng': -122.9789684}, 'viewport': {'northeast': {'lat': 44.9162202302915, 'lng': -122.9776272697085}, 'southwest': {'lat': 44.91352226970851, 'lng': -122.9803252302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 5344, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108925164622155764949"">keean spears</a>'], 'photo_reference': 'AW30NDzoTJd66bM32Hy1wceEHlxOrrMN9swctday28nJu1cLPB509QINMv--nJ0B5fqCyeUj5xMqvWwnILMFNhWWdHOLth43tT46pmcBUqgd1iQZGPMxLVgz6xzKXqB0NJgkDEcKsvIqeHouV3yARBMpEDIdTvqkC4JZJsHrqhb8LSjXE57C', 'width': 4008}]",ChIJP6f9Mtr4v1QRiSNbXuKAw5w,"{'compound_code': 'W27C+XC Salem, OR, USA', 'global_code': '84PVW27C+XC'}",4.0,ChIJP6f9Mtr4v1QRiSNbXuKAw5w,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",441.0,"1122 Lancaster Drive Southeast Suite B, Salem",1.0,
OPERATIONAL,"{'location': {'lat': 44.94611219999999, 'lng': -122.98318}, 'viewport': {'northeast': {'lat': 44.94744663029149, 'lng': -122.9820711697085}, 'southwest': {'lat': 44.9447486697085, 'lng': -122.9847691302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108288626497406508917"">Josue Castro</a>'], 'photo_reference': 'AW30NDxCaeeWutbVpQMYp0D94cDhH6DCKtBW1OkKaQHzNcAuuRFPVpNQAhBPtHG5wtuX3oND6Luxi9CCSPoMkYjNeoON-jeJa-KzNYFfRLJXrpjJ3krVCgkPXLiSe9MUEQofYhZf6rCVjiIqYWUmx5nu6U_IvOR3TgiqsA01Cad1lfec_BsH', 'width': 5120}]",ChIJ731-9cH-v1QR6npk9XGIvxc,"{'compound_code': 'W2W8+CP Salem, OR, USA', 'global_code': '84PVW2W8+CP'}",4.3,ChIJ731-9cH-v1QR6npk9XGIvxc,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",4424.0,"1302 Lancaster Drive Northeast, Salem",2.0,
OPERATIONAL,"{'location': {'lat': 44.9143429, 'lng': -122.9965171}, 'viewport': {'northeast': {'lat': 44.9157018302915, 'lng': -122.9952505197085}, 'southwest': {'lat': 44.9130038697085, 'lng': -122.9979484802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109068718531244681576"">Andy’s Retail Exploration</a>'], 'photo_reference': 'AW30NDx3yzhYtxXHUEorfZAKMiuD-MA-ZK6OrXvDFerpfPUE5i6nIxeBe7SrCpv8x1pJRajB-oOAQqygk6NWrzYTQDG9oi2hrEHsHusyV9-r62PPvYgjIa44kyn9Lbg0-BBUZ3qzYiR4iYb5g-_AZQs2mWJ0ucTJZLbxRbbtcoyHV1mozK0U', 'width': 4032}]",ChIJBzX6PMn4v1QR117riIlEpso,"{'compound_code': 'W273+P9 Salem, OR, USA', 'global_code': '84PVW273+P9'}",3.5,ChIJBzX6PMn4v1QR117riIlEpso,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",110.0,"1940 Turner Road Southeast, Salem",1.0,
CLOSED_TEMPORARILY,"{'location': {'lat': 44.93820219999999, 'lng': -123.0399597}, 'viewport': {'northeast': {'lat': 44.9395014802915, 'lng': -123.0386580697085}, 'southwest': {'lat': 44.9368035197085, 'lng': -123.0413560302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bentley's,,"[{'height': 1382, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108034281464727337525"">Bentley&#39;s</a>'], 'photo_reference': 'AW30NDyXevcFhkOBTXZ1i_I1_hEdh_7oy16BYwixcy8OCSgqE9r7YXt9ekiJMYY9Z5qhNYB7O2545ZlmZ0gUpeNTo8oVDMCElKdC082uDgryf_7N3XMSFSHGYZUqQ7_z22V2wnENEl0bhw_5OnvMpK_Od9gQx_T7zRTVARG7hraSUFMU2_Il', 'width': 2048}]",ChIJJZyac23_v1QRTTLok1mwLHI,"{'compound_code': 'WXQ6+72 Salem, OR, USA', 'global_code': '84PRWXQ6+72'}",4.3,ChIJJZyac23_v1QRTTLok1mwLHI,GOOGLE,"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",540.0,"291 Liberty Street Southeast, Salem",2.0,True
OPERATIONAL,"{'location': {'lat': 44.9372939, 'lng': -123.0397324}, 'viewport': {'northeast': {'lat': 44.93870203029149, 'lng': -123.0385966197085}, 'southwest': {'lat': 44.9360040697085, 'lng': -123.0412945802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Marco Polo Global Restaurant,{'open_now': False},"[{'height': 898, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111352563825118370505"">Marco Polo Global Restaurant</a>'], 'photo_reference': 'AW30NDwEAvsbc-7YhBlXb_CQjPoOZDAQHENXvA27OaubsxoF1e7cS92118CkgvOK9Te4dzvcnqKJZBOozNt-Amp0RpzQWtWhDUuW9SUCdOqSG755l_jbcJsAvNffinpByikUv_u1VLD9c2-8BsrYSBGcStnClHu2yynefFmK-xglF-qs0yM6', 'width': 1718}]",ChIJ0QmYDG3_v1QRHnJE5p-JjuE,"{'compound_code': 'WXP6+W4 Salem, OR, USA', 'global_code': '84PRWXP6+W4'}",4.4,ChIJ0QmYDG3_v1QRHnJE5p-JjuE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1171.0,"300 Liberty Street Southeast, Salem",2.0,
OPERATIONAL,"{'location': {'lat': 44.9504168, 'lng': -123.032015}, 'viewport': {'northeast': {'lat': 44.9518306302915, 'lng': -123.0308678697085}, 'southwest': {'lat': 44.9491326697085, 'lng': -123.0335658302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114171937175742504280"">Melanie Parks</a>'], 'photo_reference': 'AW30NDxcorQBrCQA_0kDd_f1vYyFjq1K2gSzESg2VXd0bWmCio5mYV-mI0-y5TqQGSjJMkUdjhR7nL7BF7ESvY8vwGw67jTu1LiMONySFv4cDUXgN-7aL_9vZWXUOfqpy1vo2nmEVBF50JJQSjH6GHq4xqZdyhWTy0VXxdLpWQAc-cEnSv9s', 'width': 3024}]",ChIJWVfrvwf_v1QRkrnGaoQov3M,"{'compound_code': 'XX29+55 Salem, OR, USA', 'global_code': '84PRXX29+55'}",4.2,ChIJWVfrvwf_v1QRkrnGaoQov3M,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",220.0,"1127 Broadway Street Northeast, Salem",1.0,
OPERATIONAL,"{'location': {'lat': 44.9414407, 'lng': -123.0377193}, 'viewport': {'northeast': {'lat': 44.9428449302915, 'lng': -123.0365448697085}, 'southwest': {'lat': 44.94014696970851, 'lng': -123.0392428302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Thai Orchid Restaurant,{'open_now': True},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116159926100892544951"">Thai Orchid Restaurant</a>'], 'photo_reference': 'AW30NDyU2n3XSAastj3j_0lK3JnmV1rHMeVw20rPmPHFW9-45JmGPvlgpK7EcCp6YXJAX55ZRiuDp-wQj6_36aJgJVjKwCD3K-YckgoCyCXr44B6XA4T4pCo3nC2M2_JGrAHUFmqzFJp7aE-VDURb6iZlSMRVcbBUdg28FgAAQKDUGo7uElI', 'width': 2048}]",ChIJVaiPEA3_v1QRspJ63nIxXb0,"{'compound_code': 'WXR6+HW Salem, OR, USA', 'global_code': '84PRWXR6+HW'}",4.2,ChIJVaiPEA3_v1QRspJ63nIxXb0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",327.0,"234 Liberty Street Northeast, Salem",2.0,
OPERATIONAL,"{'location': {'lat': 44.9084771, 'lng': -123.0435981}, 'viewport': {'northeast': {'lat': 44.9098990302915, 'lng': -123.0422487197085}, 'southwest': {'lat': 44.90720106970851, 'lng': -123.0449466802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 3492, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112275022818121418234"">Jorge Nolasco</a>'], 'photo_reference': 'AW30NDxnxH2QII665hUVUTXogvu_2ABE4Pg7-7AEdTfT8HVBrrOckNvw-qVBZSTOO7e4V418jZqvgIhQJ8bByaSyssDCcClcqEchVZKshXh4FgNCjwmkCIo1z31puQtuAiS-sejIJ3OD7CYg-f0SOSPZRisjcbTS1NytRgTxocltHtxfngMT', 'width': 4656}]",ChIJ1ZfGkKwAwFQRgNUka9_a2bQ,"{'compound_code': 'WX54+9H Salem, OR, USA', 'global_code': '84PRWX54+9H'}",3.8,ChIJ1ZfGkKwAwFQRgNUka9_a2bQ,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",457.0,"3302 Commercial Street Southeast, Salem",1.0,
